name,playcount,listeners,mbid,url,streamable
Depeche Mode,179381886,2864742,8538e728-ca0b-4321-b7e5-cff6565dd4c0,https://www.last.fm/music/Depeche+Mode,0
Bob Dylan,169448605,2853544,72c536dc-7137-4477-a521-567eeb840fa8,https://www.last.fm/music/Bob+Dylan,0
50 Cent,44481845,2853128,8e68819d-71be-4e7d-b41d-f1df81b01d3f,https://www.last.fm/music/50+Cent,0
Elton John,62772956,2804294,b83bc61f-8451-4a5d-8b8e-7e9ed295e822,https://www.last.fm/music/Elton+John,0
Kid Cudi,98390674,2793525,e0e1db18-f7ba-4dee-95ff-7ae8cf545460,https://www.last.fm/music/Kid+Cudi,0
The Kooks,116647584,2787286,f82f3a3e-29c2-42ca-b589-bc5dc210fa9e,https://www.last.fm/music/The+Kooks,0
OutKast,58568986,2780269,73fdb566-a9b1-494c-9f32-51768ec9fd27,https://www.last.fm/music/OutKast,0
Mariah Carey,103644857,2776418,494e8d09-f85b-4543-892f-a5096aed1cd4,https://www.last.fm/music/Mariah+Carey,0
Moby,99729373,2772759,8970d868-0723-483b-a75b-51088913d3d4,https://www.last.fm/music/Moby,0
Paramore,209257952,2771399,728ea90d-279b-4201-a8c4-597830883150,https://www.last.fm/music/Paramore,0
Placebo,196450646,2734198,979a39b4-2df9-4767-a3ca-7940e8aff05a,https://www.last.fm/music/Placebo,0
Arcade Fire,195602380,2726241,52074ba6-e495-4ef3-9bb4-0703888a9f68,https://www.last.fm/music/Arcade+Fire,0
P!nk,77818375,2724345,f4d5cc07-3bc9-4836-9b15-88a08359bc63,https://www.last.fm/music/P%21nk,0
Snoop Dogg,43695320,2716130,f90e8b26-9e52-4669-a5c9-e28529c47894,https://www.last.fm/music/Snoop+Dogg,0
Amy Winehouse,103098417,2715830,dfe9a7c4-8cf2-47f4-9dcb-d233c2b86ec3,https://www.last.fm/music/Amy+Winehouse,0
Taylor Swift,365825093,2699998,20244d07-534f-4eff-b4d4-930878889970,https://www.last.fm/music/Taylor+Swift,0
Massive Attack,125070290,2694739,10adbe5e-a2c0-4bf3-8249-2b4cbf6e6ca8,https://www.last.fm/music/Massive+Attack,0
Incubus,115614818,2690168,e3e0abcd-7671-4482-a9d8-462f5acc9be5,https://www.last.fm/music/Incubus,0
Jack Johnson,120420174,2673942,ff6e677f-91dd-4986-a174-8db0474b1799,https://www.last.fm/music/Jack+Johnson,0
Kelly Clarkson,70507554,2668398,d339efbb-77b9-4147-ba9e-59f2f24550b2,https://www.last.fm/music/Kelly+Clarkson,0
Korn,140247225,2667147,ac865b2e-bba8-4f5a-8756-dd40d5e39f46,https://www.last.fm/music/Korn,0
The Beach Boys,81191540,2658170,ebfc1398-8d96-47e3-82c3-f782abcdb13d,https://www.last.fm/music/The+Beach+Boys,0
Frank Sinatra,76046749,2642740,197450cd-0124-4164-b723-3c22dd16494d,https://www.last.fm/music/Frank+Sinatra,0
John Mayer,122081081,2642061,8a81edd9-6f62-4ac7-afee-17dc0fec5fe7,https://www.last.fm/music/John+Mayer,0
